Year,FireType,Area
2016-17,Planned fire,5352
2016-17,Unplanned fire,8466
2016-17,All fire,13818
2017-18,Planned fire,7140
2017-18,Unplanned fire,8543
2017-18,All fire,15683
2018-19,Planned fire,5388
2018-19,Unplanned fire,10931
2018-19,All fire,16319
2019-20,Planned fire,4355
2019-20,Unplanned fire,16743
2019-20,All fire,21098
2020-21,Planned fire,4639
2020-21,Unplanned fire,5868
2020-21,All fire,10508
